Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Martinique,48473,779,104.0,47590.0,129320,2078,488892.0,1304300.0,374831
Mauritania,40906,862,39112.0,932.0,8466,178,558833.0,115662.0,4831612
Mauritius,23421,762,21881.0,778.0,18371,598,358675.0,281332.0,1274917
Mayotte,21911,185,2964.0,18762.0,77529,655,176919.0,626003.0,282617
Mexico,3961662,299132,3304774.0,357756.0,30253,2284,12328458.0,94144.0,130952566
Moldova,375358,9667,361724.0,3967.0,93373,2405,2334414.0,580704.0,4019974
Monaco,4985,38,4524.0,423.0,125703,958,54960.0,1385884.0,39657
Mongolia,389089,2058,313256.0,73775.0,115905,613,4030048.0,1200502.0,3356968
Montenegro,166581,2401,158516.0,5664.0,265178,3822,967203.0,1539679.0,628185
Morocco,959098,14842,938892.0,5364.0,25533,395,10805226.0,287658.0,37562815
Mozambique,179272,1988,153731.0,23553.0,5506,61,1076026.0,33049.0,32558881
Myanmar,530276,19262,507806.0,3208.0,9649,351,6018475.0,109519.0,54953819
Namibia,146720,3616,130402.0,12702.0,56226,1386,864924.0,331456.0,2609469
Nepal,828207,11590,811746.0,4871.0,27683,387,4851470.0,162161.0,29917667
Netherlands,3101261,20852,2600170.0,480239.0,180396,1213,21107399.0,1227786.0,17191433
New Caledonia,12762,281,12217.0,264.0,44069,970,42756.0,147643.0,289591
New Zealand,14057,51,12780.0,1226.0,2810,10,5561698.0,1111873.0,5002100
Nicaragua,17487,212,4225.0,13050.0,2594,31,,,6742059
Niger,7307,274,6900.0,133.0,286,11,203062.0,7960.0,25509885
Nigeria,240387,3030,213491.0,23866.0,1125,14,3823309.0,17887.0,213747187
North Macedonia,224134,7935,211228.0,4971.0,107589,3809,1586033.0,761328.0,2083246
Norway,387196,1305,88952.0,296939.0,70599,238,9267576.0,1689788.0,5484461
Oman,305489,4116,300381.0,992.0,57639,777,25000000.0,4716984.0,5299997
Pakistan,1294861,28921,1255931.0,10009.0,5697,127,23324549.0,102624.0,227282382
Palestine,439495,4662,431160.0,3673.0,83269,883,2847177.0,539440.0,5278021
Panama,491043,7425,474829.0,8789.0,111196,1681,4462855.0,1010611.0,4415996
Papua New Guinea,36137,590,35441.0,106.0,3928,64,249149.0,27083.0,9199532
